                    .;04/2024-03/2025;04/2025-03/2026;Minimum 04/2018-03/2021;Maximum 04/2018-03/2021
20.03.;28,72;;26,31;74,44
21.03.;28,78;;26,25;74,28
22.03.;28,97;;25,97;74,12
23.03.;29,08;;25,77;73,72
24.03.;29,03;;25,68;73,39
25.03.;28,95;;25,65;73,03
26.03.;28,82;;25,78;72,70
27.03.;28,73;;25,94;72,55
28.03.;28,73;;26,09;72,59
29.03.;28,79;;25,91;72,52
30.03.;28,81;;26,39;72,14
31.03.;;;53,98;71,55
